depth_cm,core_year,core_month,sample,bulk_dens_210pb,acc_rate,year,se
1,2004,2,MX1,0.062431139583697,0.4813501985804930,2000.01168759759,0.125449156775873
3,2004,2,MX1,0.089621733674629,0.3893096336844300,1994.87438857657,0.387083675860095
5,2004,2,MX1,0.082270406034801,0.5488896379643430,1991.23066885284,0.659101770965249
7,2004,2,MX1,0.105865187035120,0.5477915267402170,1987.57964487315,1.389047244049290
9,2004,2,MX1,0.097492004233003,0.3455783042696850,1981.79224452050,1.268138465668100
11,2004,2,MX1,0.104840732071442,0.1981349686631220,1971.69811518283,1.235873016989890
13,2004,2,MX1,0.146330914649885,0.1172896162998640,1954.64630733236,
15,2004,2,MX1,0.138806388757893,0.1217011984722000,1938.21261542869,4.353321022731820
17,2004,2,MX1,0.128397745533553,0.1164403659335410,1921.03644130758,7.683051296859070
19,2004,2,MX1,0.134027079340564,0.1007367670410570,1901.18271700467,17.144534453851600
21,2004,2,MX1,0.136679844253762,,1901.18271700467,
23,2004,2,MX1,0.142669974478784,0.1206713606808030,1884.60877610671,35.337896509793100
25,2004,2,MX1,0.137264783669700,,1884.60877610671,
27,2004,2,MX1,0.146155549365897,0.1214299020229990,1868.13836835145,60.510652702156100
29,2004,2,MX1,0.144840027936138,,1868.13836835145,
31,2004,2,MX1,0.140809634092770,,,
33,2004,2,MX1,0.128013437040889,,,
35,2004,2,MX1,0.145762722644574,,,
37,2004,2,MX1,0.130332514620830,,,
39,2004,2,MX1,0.138873795841221,,,
41,2004,2,MX1,0.125046913870303,,,
43,2004,2,MX1,0.122210662732907,,,
45,2004,2,MX1,0.128444926268798,,,
47,2004,2,MX1,0.129002381141300,,,
49,2004,2,MX1,0.139135978005360,,,
51,2004,2,MX1,0.131331727701357,,,
53,2004,2,MX1,0.133456149439695,,,
55,2004,2,MX1,0.124458124956074,,,
57,2004,2,MX1,0.123221584354402,,,
1,2000,10,MX2,0.080448499306397,0.4628462444399230,1996.51224393480,0.142828266785907
3,2000,10,MX2,0.110191785762915,0.3952167258301490,1991.45172936321,0.420843118093135
5,2000,10,MX2,0.105274123907658,0.3787408873001130,1986.17107425819,0.630818123000240
7,2000,10,MX2,0.116786991062174,0.3481777447000200,1980.42688172882,1.063947314658870
9,2000,10,MX2,0.128867827171746,0.2071170783711880,1970.77050758658,1.460506734460540
11,2000,10,MX2,0.152467230647119,0.1209303584782730,1954.23206326898,2.343129279871180
13,2000,10,MX2,0.155219526964112,0.1050425836484700,1935.19216601462,4.553736374195040
15,2000,10,MX2,0.121453875493397,0.1441880120134860,1921.32138735506,8.547534192664130
17,2000,10,MX2,0.134548859400142,0.2066780440431370,1911.64450073046,17.473474105717800
19,2000,10,MX2,0.129503146189255,0.2619956400193180,1904.01078591043,29.947958706731800
21,2000,10,MX2,0.130782884833927,0.2263913920806380,1895.17652776298,41.859701423388700
23,2000,10,MX2,0.129458984068426,0.3350528122397390,1889.20731954583,81.545107738123200
25,2000,10,MX2,0.144353932452149,0.0551152897117761,1852.91974833902,29.545922574734400
27,2000,10,MX2,0.123791957191215,,1852.91974833902,
29,2000,10,MX2,0.127218000426392,,,
31,2000,10,MX2,0.134126905266952,,,
33,2000,10,MX2,0.132176987170508,,,
35,2000,10,MX2,0.141158005366467,,,
37,2000,10,MX2,0.141916210970455,,,
39,2000,10,MX2,0.119672585944187,,,
41,2000,10,MX2,0.131390833577684,,,
43,2000,10,MX2,0.134052813677134,,,
45,2000,10,MX2,0.135700241811347,,,
47,2000,10,MX2,0.131289763466079,,,
49,2000,10,MX2,0.144403508208236,,,
51,2000,10,MX2,0.132684701174899,,,
53,2000,10,MX2,0.122124706736891,,,
55,2000,10,MX2,0.153932949550366,,,
57,2000,10,MX2,0.086850751781539,,,
59,2000,10,MX2,0.123540570500304,,,
61,2000,10,MX2,0.080666502814238,,,
63,2000,10,MX2,0.055454081304817,,,
1,2000,10,MX4,0.100623850266112,0.3729418571515890,1995.47056709606,0.190152060678396
3,2000,10,MX4,0.098396479892147,0.5336240012017530,1991.72260974126,0.482839304502350
5,2000,10,MX4,0.107741613020485,0.4190730121918670,1986.95017166528,0.792425082751858
7,2000,10,MX4,0.119967142780129,0.2025192960956530,1977.07456949523,0.869086501415602
9,2000,10,MX4,0.133135734399583,0.1621476508823580,1964.74013239967,1.607813281590940
11,2000,10,MX4,0.143131072454630,0.1934499011006620,1954.40153833154,3.841397540953800
13,2000,10,MX4,0.127635787777490,0.1912667840281840,1943.94493965885,4.585433610943600
15,2000,10,MX4,0.156641773529180,0.1801665320785320,1932.84409880385,7.551904225362190
17,2000,10,MX4,0.144555126749898,0.1512138518707420,1919.61779727620,11.558915378272200
19,2000,10,MX4,0.149242028589606,0.1724348630946420,1908.01921469199,18.744899272014600
21,2000,10,MX4,0.143094720381683,0.1119856921672910,1890.15979032006,30.533339171746800
23,2000,10,MX4,0.129883495830695,0.1772147065409780,1878.87404525388,60.857684751648500
25,2000,10,MX4,0.165827777252982,0.0848888799611216,1855.31383335197,66.459417093763400
27,2000,10,MX4,0.115963424470670,0.8429117280086390,1852.94110565873,67.462932674285100
29,2000,10,MX4,0.107692613352162,0.0796317214884224,1827.82548637263,83.266470325068700
31,2000,10,MX4,0.122371789701482,,,
33,2000,10,MX4,0.123405865130982,,,
35,2000,10,MX4,0.133993064982811,,,
37,2000,10,MX4,0.114377432602907,,,
39,2000,10,MX4,0.163013424314236,,,
41,2000,10,MX4,0.124373139182674,,,
43,2000,10,MX4,0.154406150756510,,,
45,2000,10,MX4,0.151295967595668,,,
47,2000,10,MX4,0.164578700676783,,,
49,2000,10,MX4,0.132517645375950,,,
51,2000,10,MX4,0.128460405266133,,,
53,2000,10,MX4,0.070027750454242,,,
55,2000,10,MX4,0.106447602685016,,,
57,2000,10,MX4,0.106224215156744,,,
59,2000,10,MX4,0.120466649210516,,,
61,2000,10,MX4,0.056590901436508,,,